palavra,categoria
Macaco,Animal
Cachorro,Animal
Gato,Animal
Elefante,Animal
Leão,Animal
Cavalo,Animal
Galinha,Animal
Pato,Animal
Tubarão,Animal
Golfinho,Animal
Cobra,Animal
Coelho,Animal
Urso,Animal
Vaca,Animal
Porco,Animal
Girafa,Animal
Papagaio,Animal
Coruja,Animal
Peixe,Animal
Tartaruga,Animal
Camelo,Animal
Zebra,Animal
Rinoceronte,Animal
Lobo,Animal
Jacaré,Animal
Maradona,Pessoa/Personagem
Messi,Pessoa/Personagem
Neymar,Pessoa/Personagem
Cristiano Ronaldo,Pessoa/Personagem
Michael Jackson,Pessoa/Personagem
Batman,Pessoa/Personagem
Homem-Aranha,Pessoa/Personagem
Mulher-Maravilha,Pessoa/Personagem
Hulk,Pessoa/Personagem
Superman,Pessoa/Personagem
Harry Potter,Pessoa/Personagem
Darth Vader,Pessoa/Personagem
Goku,Pessoa/Personagem
Pikachu,Pessoa/Personagem
Bob Esponja,Pessoa/Personagem
Chaves,Pessoa/Personagem
Chapolin,Pessoa/Personagem
Mario,Pessoa/Personagem
Luigi,Pessoa/Personagem
Yoda,Pessoa/Personagem
Shrek,Pessoa/Personagem
Coringa,Pessoa/Personagem
Wolverine,Pessoa/Personagem
Elvis Presley,Pessoa/Personagem
Charlie Chaplin,Pessoa/Personagem
Tesoura,Objeto
Martelo,Objeto
Celular,Objeto
Controle remoto,Objeto
Televisão,Objeto
Geladeira,Objeto
Ventilador,Objeto
Escova de dentes,Objeto
Cadeira,Objeto
Mesa,Objeto
Relógio,Objeto
Óculos,Objeto
Guarda-chuva,Objeto
Mochila,Objeto
Bola,Objeto
Garrafa,Objeto
Microfone,Objeto
Espelho,Objeto
Computador,Objeto
Teclado,Objeto
Mouse,Objeto
Lápis,Objeto
Caneta,Objeto
Livro,Objeto
Copo,Objeto
Brasil,Lugar
Estados Unidos,Lugar
Argentina,Lugar
França,Lugar
Nova York,Lugar
Paris,Lugar
Londres,Lugar
Rio de Janeiro,Lugar
São Paulo,Lugar
Praia,Lugar
Estádio,Lugar
Cinema,Lugar
Escola,Lugar
Hospital,Lugar
Shopping,Lugar
Aeroporto,Lugar
Restaurante,Lugar
Academia,Lugar
Parque,Lugar
Zoológico,Lugar
Igreja,Lugar
Museu,Lugar
Teatro,Lugar
Biblioteca,Lugar
Mercado,Lugar
